Polyglot,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HRCOUNTER_HRCOUNTER",,"HRCounter",,,,,,,,,,,,,,,,,"心率计数器",,,,,,,,,,
"HRCOUNTER_COMMON_REFRESH",,"Refresh",,,,,,,,,,,,,,,,,"刷新",,,,,,,,,,
"HRCOUNTER_COMMON_RESET",,"Reset",,,,,,,,,,,,,,,,,"重置",,,,,,,,,,
"HRCOUNTER_COMMON_CANCEL",,"Cancel",,,,,,,,,,,,,,,,,"取消",,,,,,,,,,
"HRCOUNTER_COMMON_EDIT",,"Edit",,,,,,,,,,,,,,,,,"编辑",,,,,,,,,,
"HRCOUNTER_MENU_BUTTON_HINT",,"Display your heart rate in game!",,,,,,,,,,,,,,,,,"在游戏中显示心率！",,,,,,,,,,
"HRCOUNTER_COUNTERS_PLUS_MENU_NOTICE",,"HRCounter configurations have been moved to the main menu mods panel!",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_TITLE",,"HR Counter",,,,,,,,,,,,,,,,,"心率计数器",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_TAB_GENERAL",,"General",,,,,,,,,,,,,,,,,"通用",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_TAB_ICON",,"Icon",,,,,,,,,,,,,,,,,"图标",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_TAB_COLORIZE",,"Colorize",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_TAB_SAFETY",,"Safety",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_TAB_REPLAY",,"Replay",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_MOD_ENABLE_LABEL",,"Mod Enable",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_NO_BLOOM_LABEL",,"Counter No Bloom",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_NO_BLOOM_HINT",,"Do you want no bloom on the text?",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_ALWAYS_STANDALONE_LABEL",,"Always Show Standalone Counter",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_ALWAYS_STANDALONE_HINT",,"Always show the standalone counter regardless whether Counters+ is installed, enable to allow 2 hr counters to present at the same time",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_IGNORE_ZERO_LABEL",,"Ignore Zero Values",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_IGNORE_ZERO_HINT",,"Ignore zero heart rate values as if the data did not exist",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_ICON_FOLDER_LOCATION_HINT",,"Put your icons into <color=lightblue>UserData/HRCounter/Icons/</color>",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_ICON_OPEN_EXPLORER_BUTTON",,"Show in Explorer",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_COLORIZE_LABEL",,"Colorize HR Text",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_COLORIZE_HINT",,"Colorize the heart rate number.",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_HR_LOW_LABEL",,"HR Lower Bound",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
